Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Spread
,,,,,,,,
GBP-DSCON-OIS,GBP-ON,OG-Ticker,GBP-ON,MarketValue,DEP,GBP-ShortDeposit-T0,1D,
GBP-DSCON-OIS,GBP-TN,OG-Ticker,GBP-TN,MarketValue,DEP,GBP-ShortDeposit-T1,1D,
GBP-DSCON-OIS,GBP-OIS-1M,OG-Ticker,GBP-OIS-1M,MarketValue,OIS,GBP-FIXED-1Y-SONIA-OIS,1M,
GBP-DSCON-OIS,GBP-OIS-2M,OG-Ticker,GBP-OIS-2M,MarketValue,OIS,GBP-FIXED-1Y-SONIA-OIS,2M,
GBP-DSCON-OIS,GBP-OIS-3M,OG-Ticker,GBP-OIS-3M,MarketValue,OIS,GBP-FIXED-1Y-SONIA-OIS,3M,
GBP-DSCON-OIS,GBP-OIS-6M,OG-Ticker,GBP-OIS-6M,MarketValue,OIS,GBP-FIXED-1Y-SONIA-OIS,6M,
GBP-DSCON-OIS,GBP-OIS-9M,OG-Ticker,GBP-OIS-9M,MarketValue,OIS,GBP-FIXED-1Y-SONIA-OIS,9M,
GBP-DSCON-OIS,GBP-OIS-1Y,OG-Ticker,GBP-OIS-1Y,MarketValue,OIS,GBP-FIXED-1Y-SONIA-OIS,1Y,
GBP-DSCON-OIS,GBP-OIS-2Y,OG-Ticker,GBP-OIS-2Y,MarketValue,OIS,GBP-FIXED-1Y-SONIA-OIS,2Y,
GBP-DSCON-OIS,GBP-OIS-3Y,OG-Ticker,GBP-OIS-3Y,MarketValue,OIS,GBP-FIXED-1Y-SONIA-OIS,3Y,
GBP-DSCON-OIS,GBP-OIS-4Y,OG-Ticker,GBP-OIS-4Y,MarketValue,OIS,GBP-FIXED-1Y-SONIA-OIS,4Y,
GBP-DSCON-OIS,GBP-OIS-5Y,OG-Ticker,GBP-OIS-5Y,MarketValue,OIS,GBP-FIXED-1Y-SONIA-OIS,5Y,
GBP-DSCON-OIS,GBP-OIS-7Y,OG-Ticker,GBP-OIS-7Y,MarketValue,OIS,GBP-FIXED-1Y-SONIA-OIS,7Y,
GBP-DSCON-OIS,GBP-OIS-10Y,OG-Ticker,GBP-OIS-10Y,MarketValue,OIS,GBP-FIXED-1Y-SONIA-OIS,10Y,
GBP-DSCON-OIS,GBP-OIS-15Y,OG-Ticker,GBP-OIS-15Y,MarketValue,OIS,GBP-FIXED-1Y-SONIA-OIS,15Y,
GBP-DSCON-OIS,GBP-OIS-20Y,OG-Ticker,GBP-OIS-20Y,MarketValue,OIS,GBP-FIXED-1Y-SONIA-OIS,20Y,
GBP-DSCON-OIS,GBP-OIS-30Y,OG-Ticker,GBP-OIS-30Y,MarketValue,OIS,GBP-FIXED-1Y-SONIA-OIS,30Y,
,,,,,,,,
GBP-LIBOR6M-IRS,GBP-FIX-L6M,OG-Ticker,GBP-FIX-L6M,MarketValue,FIX,GBP-LIBOR-6M,,
GBP-LIBOR6M-IRS,GBP-FRA-3Mx9M,OG-Ticker,GBP-FRA-3Mx9M,MarketValue,FRA,GBP-LIBOR-6M,3Mx9M,
GBP-LIBOR6M-IRS,GBP-IRS6M-1Y,OG-Ticker,GBP-IRS6M-1Y,MarketValue,IRS,GBP-FIXED-6M-LIBOR-6M,1Y,
GBP-LIBOR6M-IRS,GBP-IRS6M-2Y,OG-Ticker,GBP-IRS6M-2Y,MarketValue,IRS,GBP-FIXED-6M-LIBOR-6M,2Y,
GBP-LIBOR6M-IRS,GBP-IRS6M-3Y,OG-Ticker,GBP-IRS6M-3Y,MarketValue,IRS,GBP-FIXED-6M-LIBOR-6M,3Y,
GBP-LIBOR6M-IRS,GBP-IRS6M-4Y,OG-Ticker,GBP-IRS6M-4Y,MarketValue,IRS,GBP-FIXED-6M-LIBOR-6M,4Y,
GBP-LIBOR6M-IRS,GBP-IRS6M-5Y,OG-Ticker,GBP-IRS6M-5Y,MarketValue,IRS,GBP-FIXED-6M-LIBOR-6M,5Y,
GBP-LIBOR6M-IRS,GBP-IRS6M-7Y,OG-Ticker,GBP-IRS6M-7Y,MarketValue,IRS,GBP-FIXED-6M-LIBOR-6M,7Y,
GBP-LIBOR6M-IRS,GBP-IRS6M-10Y,OG-Ticker,GBP-IRS6M-10Y,MarketValue,IRS,GBP-FIXED-6M-LIBOR-6M,10Y,
GBP-LIBOR6M-IRS,GBP-IRS6M-15Y,OG-Ticker,GBP-IRS6M-15Y,MarketValue,IRS,GBP-FIXED-6M-LIBOR-6M,15Y,
GBP-LIBOR6M-IRS,GBP-IRS6M-20Y,OG-Ticker,GBP-IRS6M-20Y,MarketValue,IRS,GBP-FIXED-6M-LIBOR-6M,20Y,
GBP-LIBOR6M-IRS,GBP-IRS6M-30Y,OG-Ticker,GBP-IRS6M-30Y,MarketValue,IRS,GBP-FIXED-6M-LIBOR-6M,30Y,