Reference,Date,Value
US-CPI-U,2015-06-30,237.423
US-CPI-U,2015-05-31,236.876
US-CPI-U,2015-04-30,236.197
US-CPI-U,2015-03-31,235.859
US-CPI-U,2015-02-28,235.415
US-CPI-U,2015-01-31,234.954
US-CPI-U,2014-12-31,236.464
US-CPI-U,2014-11-30,237.261
US-CPI-U,2014-10-31,237.651
US-CPI-U,2014-09-30,237.51
US-CPI-U,2014-08-31,237.163
US-CPI-U,2014-07-31,237.259
US-CPI-U,2014-06-30,237.016
US-CPI-U,2014-05-31,236.803
US-CPI-U,2014-04-30,236.495
US-CPI-U,2014-03-31,235.897
US-CPI-U,2014-02-28,235.621
US-CPI-U,2014-01-31,235.436
US-CPI-U,2013-12-31,234.847
US-CPI-U,2013-11-30,234.21
US-CPI-U,2013-10-31,233.799
US-CPI-U,2013-09-30,233.642
US-CPI-U,2013-08-31,233.249
US-CPI-U,2013-07-31,232.749